challenge_id	slug	issue_state	branch	worktree	tracking_issue	challenge_page	planner_doc	generator_doc	evaluator_doc	rubric_doc	pr_url
0015	intrinsics-simd	CLOSED	verify-rust-std/reexec-0015-intrinsics-simd	/home/zhaoji/projs/mir-semantics-vrs/challenges/0015-intrinsics-simd	[#173](https://github.com/model-checking/verify-rust-std/issues/173)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0015-intrinsics-simd.md	docs/verify-rust-std/challenges/0015-intrinsics-simd/planner.md	docs/verify-rust-std/challenges/0015-intrinsics-simd/generator.md	docs/verify-rust-std/challenges/0015-intrinsics-simd/evaluator.md	docs/verify-rust-std/challenges/0015-intrinsics-simd/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1040
0016	iter	OPEN	verify-rust-std/reexec-0016-iter	/home/zhaoji/projs/mir-semantics-vrs/challenges/0016-iter	[#280](https://github.com/model-checking/verify-rust-std/issues/280)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0016-iter.md	docs/verify-rust-std/challenges/0016-iter/planner.md	docs/verify-rust-std/challenges/0016-iter/generator.md	docs/verify-rust-std/challenges/0016-iter/evaluator.md	docs/verify-rust-std/challenges/0016-iter/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1041
0017	slice	OPEN	verify-rust-std/reexec-0017-slice	/home/zhaoji/projs/mir-semantics-vrs/challenges/0017-slice	[#281](https://github.com/model-checking/verify-rust-std/issues/281)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0017-slice.md	docs/verify-rust-std/challenges/0017-slice/planner.md	docs/verify-rust-std/challenges/0017-slice/generator.md	docs/verify-rust-std/challenges/0017-slice/evaluator.md	docs/verify-rust-std/challenges/0017-slice/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1042
0018	slice-iter	OPEN	verify-rust-std/reexec-0018-slice-iter	/home/zhaoji/projs/mir-semantics-vrs/challenges/0018-slice-iter	[#282](https://github.com/model-checking/verify-rust-std/issues/282)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0018-slice-iter.md	docs/verify-rust-std/challenges/0018-slice-iter/planner.md	docs/verify-rust-std/challenges/0018-slice-iter/generator.md	docs/verify-rust-std/challenges/0018-slice-iter/evaluator.md	docs/verify-rust-std/challenges/0018-slice-iter/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1043
0019	rawvec	CLOSED	verify-rust-std/reexec-0019-rawvec	/home/zhaoji/projs/mir-semantics-vrs/challenges/0019-rawvec	[#283](https://github.com/model-checking/verify-rust-std/issues/283)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0019-rawvec.md	docs/verify-rust-std/challenges/0019-rawvec/planner.md	docs/verify-rust-std/challenges/0019-rawvec/generator.md	docs/verify-rust-std/challenges/0019-rawvec/evaluator.md	docs/verify-rust-std/challenges/0019-rawvec/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1044
0020	str-pattern-pt1	OPEN	verify-rust-std/reexec-0020-str-pattern-pt1	/home/zhaoji/projs/mir-semantics-vrs/challenges/0020-str-pattern-pt1	[#277](https://github.com/model-checking/verify-rust-std/issues/277)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0020-str-pattern-pt1.md	docs/verify-rust-std/challenges/0020-str-pattern-pt1/planner.md	docs/verify-rust-std/challenges/0020-str-pattern-pt1/generator.md	docs/verify-rust-std/challenges/0020-str-pattern-pt1/evaluator.md	docs/verify-rust-std/challenges/0020-str-pattern-pt1/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1045
0021	str-pattern-pt2	OPEN	verify-rust-std/reexec-0021-str-pattern-pt2	/home/zhaoji/projs/mir-semantics-vrs/challenges/0021-str-pattern-pt2	[#278](https://github.com/model-checking/verify-rust-std/issues/278)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0021-str-pattern-pt2.md	docs/verify-rust-std/challenges/0021-str-pattern-pt2/planner.md	docs/verify-rust-std/challenges/0021-str-pattern-pt2/generator.md	docs/verify-rust-std/challenges/0021-str-pattern-pt2/evaluator.md	docs/verify-rust-std/challenges/0021-str-pattern-pt2/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1046
0022	str-iter	OPEN	verify-rust-std/reexec-0022-str-iter	/home/zhaoji/projs/mir-semantics-vrs/challenges/0022-str-iter	[#279](https://github.com/model-checking/verify-rust-std/issues/279)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0022-str-iter.md	docs/verify-rust-std/challenges/0022-str-iter/planner.md	docs/verify-rust-std/challenges/0022-str-iter/generator.md	docs/verify-rust-std/challenges/0022-str-iter/evaluator.md	docs/verify-rust-std/challenges/0022-str-iter/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1047
0023	vec-pt1	OPEN	verify-rust-std/reexec-0023-vec-pt1	/home/zhaoji/projs/mir-semantics-vrs/challenges/0023-vec-pt1	[#284](https://github.com/model-checking/verify-rust-std/issues/284)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0023-vec-pt1.md	docs/verify-rust-std/challenges/0023-vec-pt1/planner.md	docs/verify-rust-std/challenges/0023-vec-pt1/generator.md	docs/verify-rust-std/challenges/0023-vec-pt1/evaluator.md	docs/verify-rust-std/challenges/0023-vec-pt1/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1048
0024	vec-pt2	OPEN	verify-rust-std/reexec-0024-vec-pt2	/home/zhaoji/projs/mir-semantics-vrs/challenges/0024-vec-pt2	[#285](https://github.com/model-checking/verify-rust-std/issues/285)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0024-vec-pt2.md	docs/verify-rust-std/challenges/0024-vec-pt2/planner.md	docs/verify-rust-std/challenges/0024-vec-pt2/generator.md	docs/verify-rust-std/challenges/0024-vec-pt2/evaluator.md	docs/verify-rust-std/challenges/0024-vec-pt2/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1049
0025	vecdeque	OPEN	verify-rust-std/reexec-0025-vecdeque	/home/zhaoji/projs/mir-semantics-vrs/challenges/0025-vecdeque	[#286](https://github.com/model-checking/verify-rust-std/issues/286)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0025-vecdeque.md	docs/verify-rust-std/challenges/0025-vecdeque/planner.md	docs/verify-rust-std/challenges/0025-vecdeque/generator.md	docs/verify-rust-std/challenges/0025-vecdeque/evaluator.md	docs/verify-rust-std/challenges/0025-vecdeque/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1050
0026	rc	OPEN	verify-rust-std/reexec-0026-rc	/home/zhaoji/projs/mir-semantics-vrs/challenges/0026-rc	[#382](https://github.com/model-checking/verify-rust-std/issues/382)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0026-rc.md	docs/verify-rust-std/challenges/0026-rc/planner.md	docs/verify-rust-std/challenges/0026-rc/generator.md	docs/verify-rust-std/challenges/0026-rc/evaluator.md	docs/verify-rust-std/challenges/0026-rc/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1051
0027	arc	OPEN	verify-rust-std/reexec-0027-arc	/home/zhaoji/projs/mir-semantics-vrs/challenges/0027-arc	[#383](https://github.com/model-checking/verify-rust-std/issues/383)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0027-arc.md	docs/verify-rust-std/challenges/0027-arc/planner.md	docs/verify-rust-std/challenges/0027-arc/generator.md	docs/verify-rust-std/challenges/0027-arc/evaluator.md	docs/verify-rust-std/challenges/0027-arc/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1052
0028	flt2dec	OPEN	verify-rust-std/reexec-0028-flt2dec	/home/zhaoji/projs/mir-semantics-vrs/challenges/0028-flt2dec	[#524](https://github.com/model-checking/verify-rust-std/issues/524)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0028-flt2dec.md	docs/verify-rust-std/challenges/0028-flt2dec/planner.md	docs/verify-rust-std/challenges/0028-flt2dec/generator.md	docs/verify-rust-std/challenges/0028-flt2dec/evaluator.md	docs/verify-rust-std/challenges/0028-flt2dec/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1053
0029	boxed	OPEN	verify-rust-std/reexec-0029-boxed	/home/zhaoji/projs/mir-semantics-vrs/challenges/0029-boxed	[#526](https://github.com/model-checking/verify-rust-std/issues/526)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0029-boxed.md	docs/verify-rust-std/challenges/0029-boxed/planner.md	docs/verify-rust-std/challenges/0029-boxed/generator.md	docs/verify-rust-std/challenges/0029-boxed/evaluator.md	docs/verify-rust-std/challenges/0029-boxed/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1054
